"Stage","Scenario","Sales","Size","Lifetime","eol","Reuse","Scrap","Year","ktons","type","cap","deficit","deficit_trans","lab_def"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50","Ambitious","Reference","Long lifetime","50% Reuse","50%","18%",2040,5175.6332970987,"Capacity",918.387361849208,4257.24593524949,65.2475741713781,"4.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50","Ambitious","Reference","Long lifetime","50% Reuse","50%","2%",2040,3516.61495153133,"Capacity",918.387361849208,2598.22758968212,50.9728122598912,"2.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50","Ambitious","Reference","Long lifetime","50% Reuse","50%","22%",2040,5590.38788349054,"Capacity",918.387361849208,4672.00052164133,68.3520337783839,"4.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50","Ambitious","Reference","Long lifetime","50% Reuse","50%","6%",2040,3931.36953792317,"Capacity",918.387361849208,3012.98217607396,54.89063832817,"3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Large","Ambitious","Large LIB","Long lifetime","50% Reuse","50%","10%",2040,4736.12280271995,"Capacity",918.387361849208,3817.73544087074,61.7878259924294,"3.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Large","Ambitious","Large LIB","Long lifetime","50% Reuse","50%","14%",2040,5149.29652795908,"Capacity",918.387361849208,4230.90916610987,65.0454392414247,"4.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Large","Ambitious","Large LIB","Long lifetime","50% Reuse","50%","18%",2040,5562.47025319822,"Capacity",918.387361849208,4644.08289134901,68.1475083282508,"4.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Large","Ambitious","Large LIB","Long lifetime","50% Reuse","50%","2%",2040,3909.77535224168,"Capacity",918.387361849208,2991.38799039247,54.6935827167363,"3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Large","Ambitious","Large LIB","Long lifetime","50% Reuse","50%","22%",2040,5975.64397843735,"Capacity",918.387361849208,5057.25661658814,71.1143910652981,"5.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Large","Ambitious","Large LIB","Long lifetime","50% Reuse","50%","6%",2040,4322.94907748081,"Capacity",918.387361849208,3404.56171563161,58.3486222256499,"3.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Small","Ambitious","Small LIB","Long lifetime","50% Reuse","50%","10%",2040,3695.03142117162,"Capacity",918.387361849208,2776.64405932242,52.6938711741927,"2.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Small","Ambitious","Small LIB","Long lifetime","50% Reuse","50%","14%",2040,4035.91824219864,"Capacity",918.387361849208,3117.53088034943,55.8348536341722,"3.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Small","Ambitious","Small LIB","Long lifetime","50% Reuse","50%","18%",2040,4376.80506322565,"Capacity",918.387361849208,3458.41770137644,58.8083131995506,"3.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Small","Ambitious","Small LIB","Long lifetime","50% Reuse","50%","2%",2040,3013.2577791176,"Capacity",918.387361849208,2094.8704172684,45.7697543937959,"2.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Small","Ambitious","Small LIB","Long lifetime","50% Reuse","50%","22%",2040,4717.69188425266,"Capacity",918.387361849208,3799.30452240345,61.6384987033546,"3.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50Small","Ambitious","Small LIB","Long lifetime","50% Reuse","50%","6%",2040,3354.14460014461,"Capacity",918.387361849208,2435.75723829541,49.3533913555635,"2.4M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","100% LIB prod.","0%","10%",2040,11549.7629337847,"Capacity",918.387361849208,10631.3755719355,103.108562068993,"10.6M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","100% LIB prod.","0%","14%",2040,12265.5040610072,"Capacity",918.387361849208,11347.116699158,106.522845902454,"11.3M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","100% LIB prod.","0%","18%",2040,12981.2451882297,"Capacity",918.387361849208,12062.8578263805,109.831042180162,"12.1M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","100% LIB prod.","0%","2%",2040,10118.2806793396,"Capacity",918.387361849208,9199.89331749042,95.9160743436178,"9.2M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","100% LIB prod.","0%","22%",2040,13696.9863154522,"Capacity",918.387361849208,12778.598953603,113.042465266832,"12.8M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","100% LIB prod.","0%","6%",2040,10834.0218065622,"Capacity",918.387361849208,9915.63444471294,99.5772787573196,"9.9M"
