"Country","Year","Stage","ktons","capacity","net"
"Canada",2036,"Refining (ktons of black mass)",58.7154000393187,76.9110537390429,18.1956536997242
"Canada",2037,"Pre-processing (ktons of battery)",242.107586860735,318,75.8924131392645
"Canada",2037,"Refining (ktons of black mass)",70.093764504089,76.9110537390429,6.8172892349539
"Canada",2038,"Pre-processing (ktons of battery)",288.930443011155,318,29.0695569888446
"Canada",2038,"Refining (ktons of black mass)",83.3901805386084,76.9110537390429,-6.47912679956548
"Canada",2039,"Pre-processing (ktons of battery)",351.68146136776,318,-33.6814613677596
"Canada",2039,"Refining (ktons of black mass)",101.305085977393,76.9110537390429,-24.3940322383504
"Canada",2040,"Pre-processing (ktons of battery)",424.065242825287,318,-106.065242825287
"Canada",2040,"Refining (ktons of black mass)",121.910528928862,76.9110537390429,-44.9994751898187
"Canada",2041,"Pre-processing (ktons of battery)",503.864192376332,318,-185.864192376332
"Canada",2041,"Refining (ktons of black mass)",144.526144025764,76.9110537390429,-67.6150902867212
"Canada",2042,"Pre-processing (ktons of battery)",597.618942478437,318,-279.618942478437
"Canada",2042,"Refining (ktons of black mass)",171.108489051513,76.9110537390429,-94.1974353124699
"Canada",2043,"Pre-processing (ktons of battery)",699.272262486634,318,-381.272262486634
"Canada",2043,"Refining (ktons of black mass)",199.891371742768,76.9110537390429,-122.980318003725
"Canada",2044,"Pre-processing (ktons of battery)",805.069576241971,318,-487.069576241971
"Canada",2044,"Refining (ktons of black mass)",229.831299513574,76.9110537390429,-152.920245774531
"Canada",2045,"Pre-processing (ktons of battery)",908.774166289794,318,-590.774166289794
"Canada",2045,"Refining (ktons of black mass)",259.145791881012,76.9110537390429,-182.234738141969
"Canada",2046,"Pre-processing (ktons of battery)",1013.10268971575,318,-695.102689715753
"Canada",2046,"Refining (ktons of black mass)",288.774376519366,76.9110537390429,-211.863322780323
"Canada",2047,"Pre-processing (ktons of battery)",1102.51696409819,318,-784.516964098191
"Canada",2047,"Refining (ktons of black mass)",314.142650473258,76.9110537390429,-237.231596734215
"Canada",2048,"Pre-processing (ktons of battery)",1179.9024388909,318,-861.902438890897
"Canada",2048,"Refining (ktons of black mass)",336.176916891944,76.9110537390429,-259.265863152901
"Canada",2049,"Pre-processing (ktons of battery)",1244.50451931031,318,-926.504519310305
"Canada",2049,"Refining (ktons of black mass)",354.657646899391,76.9110537390429,-277.746593160348
"Canada",2050,"Pre-processing (ktons of battery)",1297.32363203637,318,-979.323632036368
"Canada",2050,"Refining (ktons of black mass)",369.858842185115,76.9110537390429,-292.947788446072
"Mexico",2025,"Pre-processing (ktons of battery)",1.34189952216804,0,-1.34189952216804
"Mexico",2025,"Refining (ktons of black mass)",0.39027292365278,0,-0.39027292365278
"Mexico",2026,"Pre-processing (ktons of battery)",9.22395107780418,0,-9.22395107780418
"Mexico",2026,"Refining (ktons of black mass)",2.75677686539507,0,-2.75677686539507
"Mexico",2027,"Pre-processing (ktons of battery)",15.633521451814,0,-15.633521451814
"Mexico",2027,"Refining (ktons of black mass)",4.7413764064385,0,-4.7413764064385
"Mexico",2028,"Pre-processing (ktons of battery)",26.7031445016014,0,-26.7031445016014
"Mexico",2028,"Refining (ktons of black mass)",8.17487401045294,0,-8.17487401045294
"Mexico",2029,"Pre-processing (ktons of battery)",37.7471612320752,0,-37.7471612320752
"Mexico",2029,"Refining (ktons of black mass)",11.5362239360728,0,-11.5362239360728
"Mexico",2030,"Pre-processing (ktons of battery)",47.3462535049271,0,-47.3462535049271
"Mexico",2030,"Refining (ktons of black mass)",14.351137897312,0,-14.351137897312
"Mexico",2031,"Pre-processing (ktons of battery)",59.7336351180434,0,-59.7336351180434
"Mexico",2031,"Refining (ktons of black mass)",17.9427988699857,0,-17.9427988699857
"Mexico",2032,"Pre-processing (ktons of battery)",76.0604371470975,0,-76.0604371470975
"Mexico",2032,"Refining (ktons of black mass)",22.6637227535107,0,-22.6637227535107
"Mexico",2033,"Pre-processing (ktons of battery)",97.0194223771228,0,-97.0194223771228
"Mexico",2033,"Refining (ktons of black mass)",28.7151908851839,0,-28.7151908851839
"Mexico",2034,"Pre-processing (ktons of battery)",123.124108591834,0,-123.124108591834
"Mexico",2034,"Refining (ktons of black mass)",36.2441258701016,0,-36.2441258701016
"Mexico",2035,"Pre-processing (ktons of battery)",154.931846043322,0,-154.931846043322
"Mexico",2035,"Refining (ktons of black mass)",45.4159879631222,0,-45.4159879631222
"Mexico",2036,"Pre-processing (ktons of battery)",192.525504519042,0,-192.525504519042
"Mexico",2036,"Refining (ktons of black mass)",56.2504219075712,0,-56.2504219075712
"Mexico",2037,"Pre-processing (ktons of battery)",235.579739390875,0,-235.579739390875
"Mexico",2037,"Refining (ktons of black mass)",68.6414805434091,0,-68.6414805434091
"Mexico",2038,"Pre-processing (ktons of battery)",283.950277668156,0,-283.950277668156
"Mexico",2038,"Refining (ktons of black mass)",82.5393210967967,0,-82.5393210967967
"Mexico",2039,"Pre-processing (ktons of battery)",339.04328442679,0,-339.04328442679
"Mexico",2039,"Refining (ktons of black mass)",98.3629602370925,0,-98.3629602370925
"Mexico",2040,"Pre-processing (ktons of battery)",404.796751396879,0,-404.796751396879
"Mexico",2040,"Refining (ktons of black mass)",117.290539301252,0,-117.290539301252
"Mexico",2041,"Pre-processing (ktons of battery)",477.429438593335,0,-477.429438593335
"Mexico",2041,"Refining (ktons of black mass)",138.186413406062,0,-138.186413406062
"Mexico",2042,"Pre-processing (ktons of battery)",556.683797550078,0,-556.683797550078
"Mexico",2042,"Refining (ktons of black mass)",160.974726867844,0,-160.974726867844
"Mexico",2043,"Pre-processing (ktons of battery)",641.712476685192,0,-641.712476685192
"Mexico",2043,"Refining (ktons of black mass)",185.418656686304,0,-185.418656686304
"Mexico",2044,"Pre-processing (ktons of battery)",730.649135542731,0,-730.649135542731
"Mexico",2044,"Refining (ktons of black mass)",210.976468915086,0,-210.976468915086
"Mexico",2045,"Pre-processing (ktons of battery)",821.173608142548,0,-821.173608142548
"Mexico",2045,"Refining (ktons of black mass)",236.976063586764,0,-236.976063586764
"Mexico",2046,"Pre-processing (ktons of battery)",911.343643016989,0,-911.343643016989
"Mexico",2046,"Refining (ktons of black mass)",262.864764880362,0,-262.864764880362
"Mexico",2047,"Pre-processing (ktons of battery)",999.87831225509,0,-999.87831225509
"Mexico",2047,"Refining (ktons of black mass)",288.284620303197,0,-288.284620303197
"Mexico",2048,"Pre-processing (ktons of battery)",1086.04777765486,0,-1086.04777765486
"Mexico",2048,"Refining (ktons of black mass)",313.029806180075,0,-313.029806180075
"Mexico",2049,"Pre-processing (ktons of battery)",1169.60445550543,0,-1169.60445550543
"Mexico",2049,"Refining (ktons of black mass)",337.03098263556,0,-337.03098263556
"Mexico",2050,"Pre-processing (ktons of battery)",1250.61374749617,0,-1250.61374749617
"Mexico",2050,"Refining (ktons of black mass)",360.309988457249,0,-360.309988457249
"United States",2025,"Pre-processing (ktons of battery)",108.597161502619,302.423361849208,193.826200346588
"United States",2025,"Refining (ktons of black mass)",31.4326512367476,0,-31.4326512367476
"United States",2026,"Pre-processing (ktons of battery)",154.163707055131,475.528361849208,321.364654794076
"United States",2026,"Refining (ktons of black mass)",45.0381505737705,6.59364669564592,-38.4445038781246
"United States",2027,"Pre-processing (ktons of battery)",310.704286269411,514.528361849207,203.824075579797
"United States",2027,"Refining (ktons of black mass)",92.1085798962211,96.7806103840414,4.67203048782028
"United States",2028,"Pre-processing (ktons of battery)",478.027494447546,516.528361849207,38.5008674016613
"United States",2028,"Refining (ktons of black mass)",144.506775487435,151.582672598708,7.07589711127241
"United States",2029,"Pre-processing (ktons of battery)",670.514756338917,549.528361849207,-120.98639448971
"United States",2029,"Refining (ktons of black mass)",202.808795368655,162.295283655217,-40.5135117134377
"United States",2030,"Pre-processing (ktons of battery)",768.328949243047,600.387361849208,-167.94158739384
"United States",2030,"Refining (ktons of black mass)",231.996012889537,304.452648324782,72.4566354352444
"United States",2031,"Pre-processing (ktons of battery)",903.626341655345,600.387361849208,-303.238979806137
"United States",2031,"Refining (ktons of black mass)",271.442479619576,304.452648324782,33.0101687052064
"United States",2032,"Pre-processing (ktons of battery)",1057.78063861848,600.387361849208,-457.39327676927
"United States",2032,"Refining (ktons of black mass)",316.348370853166,307.748836342169,-8.59953451099642
"United States",2033,"Pre-processing (ktons of battery)",1245.42909946505,600.387361849208,-645.041737615842
"United States",2033,"Refining (ktons of black mass)",370.826674894106,307.748836342169,-63.0778385519364
"United States",2034,"Pre-processing (ktons of battery)",1471.52907915441,600.387361849208,-871.141717305205
"United States",2034,"Refining (ktons of black mass)",436.280507502309,307.748836342169,-128.53167116014
"United States",2035,"Pre-processing (ktons of battery)",1741.32196915205,600.387361849208,-1140.93460730284
"United States",2035,"Refining (ktons of black mass)",514.130157005127,307.748836342169,-206.381320662958
"United States",2036,"Pre-processing (ktons of battery)",2059.04325928003,600.387361849208,-1458.65589743082
"United States",2036,"Refining (ktons of black mass)",605.680228649446,307.748836342169,-297.931392307276
"United States",2037,"Pre-processing (ktons of battery)",2429.45292067082,600.387361849208,-1829.06555882161
"United States",2037,"Refining (ktons of black mass)",711.926136919017,307.748836342169,-404.177300576848
"United States",2038,"Pre-processing (ktons of battery)",2851.96358956974,600.387361849208,-2251.57622772053
"United States",2038,"Refining (ktons of black mass)",832.65419434287,307.748836342169,-524.905358000701
"United States",2039,"Pre-processing (ktons of battery)",3330.12273623657,600.387361849208,-2729.73537438736
"United States",2039,"Refining (ktons of black mass)",968.999670340886,307.748836342169,-661.250833998717
"United States",2040,"Pre-processing (ktons of battery)",3968.94517074047,600.387361849208,-3368.55780889126
"United States",2040,"Refining (ktons of black mass)",1152.70464307527,307.748836342169,-844.955806733098
"United States",2041,"Pre-processing (ktons of battery)",4660.79896458871,600.387361849208,-4060.4116027395
"United States",2041,"Refining (ktons of black mass)",1351.5597584317,307.748836342169,-1043.81092208953
"United States",2042,"Pre-processing (ktons of battery)",5250.42643899706,600.387361849208,-4650.03907714785
"United States",2042,"Refining (ktons of black mass)",1519.37901606836,307.748836342169,-1211.63017972619
"United States",2043,"Pre-processing (ktons of battery)",5933.26931840773,600.387361849208,-5332.88195655852
"United States",2043,"Refining (ktons of black mass)",1714.97829022685,307.748836342169,-1407.22945388468
"United States",2044,"Pre-processing (ktons of battery)",6574.56063275551,600.387361849208,-5974.1732709063
"United States",2044,"Refining (ktons of black mass)",1898.1508306297,307.748836342169,-1590.40199428753
"United States",2045,"Pre-processing (ktons of battery)",7141.55907954559,600.387361849208,-6541.17171769638
"United States",2045,"Refining (ktons of black mass)",2059.26607102611,307.748836342169,-1751.51723468394
"United States",2046,"Pre-processing (ktons of battery)",7677.40849764701,600.387361849208,-7077.0211357978
"United States",2046,"Refining (ktons of black mass)",2211.66105939281,307.748836342169,-1903.91222305064
"United States",2047,"Pre-processing (ktons of battery)",8207.21903213134,600.387361849208,-7606.83167028213
"United States",2047,"Refining (ktons of black mass)",2363.15655252761,307.748836342169,-2055.40771618544
"United States",2048,"Pre-processing (ktons of battery)",8722.80915269761,600.387361849208,-8122.4217908484
"United States",2048,"Refining (ktons of black mass)",2511.46524509389,307.748836342169,-2203.71640875172
"United States",2049,"Pre-processing (ktons of battery)",9183.56189322882,600.387361849208,-8583.17453137961
"United States",2049,"Refining (ktons of black mass)",2644.3881673898,307.748836342169,-2336.63933104763
"United States",2050,"Pre-processing (ktons of battery)",9447.93257901265,600.387361849208,-8847.54521716344
"United States",2050,"Refining (ktons of black mass)",2719.33496003456,307.748836342169,-2411.58612369239
