"Vehicle","Country","Year","Stage","ktons"
"Buses","United States",2026,"Refining (ktons of black mass)",0.539562011541816
"Buses","United States",2027,"Pre-processing (ktons of battery)",2.95310808528307
"Buses","United States",2027,"Refining (ktons of black mass)",0.885932425584921
"Buses","United States",2028,"Pre-processing (ktons of battery)",4.67548515333236
"Buses","United States",2028,"Refining (ktons of black mass)",1.40264554599971
"Buses","United States",2029,"Pre-processing (ktons of battery)",7.16800170007151
"Buses","United States",2029,"Refining (ktons of black mass)",2.15040051002145
"Buses","United States",2030,"Pre-processing (ktons of battery)",10.6629804969755
"Buses","United States",2030,"Refining (ktons of black mass)",3.19889414909264
"Buses","United States",2031,"Pre-processing (ktons of battery)",16.0995403181341
"Buses","United States",2031,"Refining (ktons of black mass)",4.82986209544022
"Buses","United States",2032,"Pre-processing (ktons of battery)",23.2492956759699
"Buses","United States",2032,"Refining (ktons of black mass)",6.97478870279096
"Buses","United States",2033,"Pre-processing (ktons of battery)",32.41065499167
"Buses","United States",2033,"Refining (ktons of black mass)",9.723196497501
"Buses","United States",2034,"Pre-processing (ktons of battery)",43.7473589224558
"Buses","United States",2034,"Refining (ktons of black mass)",13.1242076767367
"Buses","United States",2035,"Pre-processing (ktons of battery)",57.569551835514
"Buses","United States",2035,"Refining (ktons of black mass)",17.2708655506542
"Buses","United States",2036,"Pre-processing (ktons of battery)",74.0417467481026
"Buses","United States",2036,"Refining (ktons of black mass)",22.2125240244308
"Buses","United States",2037,"Pre-processing (ktons of battery)",93.0868905457399
"Buses","United States",2037,"Refining (ktons of black mass)",27.926067163722
"Buses","United States",2038,"Pre-processing (ktons of battery)",114.559735404431
"Buses","United States",2038,"Refining (ktons of black mass)",34.3679206213292
"Buses","United States",2039,"Pre-processing (ktons of battery)",137.749241232414
"Buses","United States",2039,"Refining (ktons of black mass)",41.3247723697241
"Buses","United States",2040,"Pre-processing (ktons of battery)",162.085942271716
"Buses","United States",2040,"Refining (ktons of black mass)",48.6257826815149
"Buses","United States",2041,"Pre-processing (ktons of battery)",187.086802865242
"Buses","United States",2041,"Refining (ktons of black mass)",56.1260408595725
"Buses","United States",2042,"Pre-processing (ktons of battery)",212.425019456045
"Buses","United States",2042,"Refining (ktons of black mass)",63.7275058368136
"Buses","United States",2043,"Pre-processing (ktons of battery)",237.735216630867
"Buses","United States",2043,"Refining (ktons of black mass)",71.3205649892601
"Buses","United States",2044,"Pre-processing (ktons of battery)",262.646430352269
