"Scenario","scen_name","Year","Stage","ktons","capacity","net"
"Momentum_Long_reuse0","Long life",2036,"Refining (ktons of black mass)",481.884803385781,384.659890081212,-97.2249133045686
"Momentum_Long_reuse0","Long life",2037,"Pre-processing (ktons of battery)",1903.17860741555,918.387361849208,-984.791245566346
"Momentum_Long_reuse0","Long life",2037,"Refining (ktons of black mass)",564.244213706411,384.659890081212,-179.584323625198
"Momentum_Long_reuse0","Long life",2038,"Pre-processing (ktons of battery)",2239.08371895862,918.387361849208,-1320.69635710941
"Momentum_Long_reuse0","Long life",2038,"Refining (ktons of black mass)",660.767448079776,384.659890081212,-276.107557998564
"Momentum_Long_reuse0","Long life",2039,"Pre-processing (ktons of battery)",2641.87649095953,918.387361849208,-1723.48912911032
"Momentum_Long_reuse0","Long life",2039,"Refining (ktons of black mass)",776.178056471824,384.659890081212,-391.518166390612
"Momentum_Long_reuse0","Long life",2040,"Pre-processing (ktons of battery)",3176.16298131798,918.387361849208,-2257.77561946877
"Momentum_Long_reuse0","Long life",2040,"Refining (ktons of black mass)",929.874780811458,384.659890081212,-545.214890730245
"Momentum_Long_reuse0","Long life",2041,"Pre-processing (ktons of battery)",3832.24532889141,918.387361849208,-2913.8579670422
"Momentum_Long_reuse0","Long life",2041,"Refining (ktons of black mass)",1118.77263726389,384.659890081212,-734.112747182676
"Momentum_Long_reuse0","Long life",2042,"Pre-processing (ktons of battery)",4418.62648054483,918.387361849208,-3500.23911869563
"Momentum_Long_reuse0","Long life",2042,"Refining (ktons of black mass)",1285.61723479428,384.659890081212,-900.957344713072
"Momentum_Long_reuse0","Long life",2043,"Pre-processing (ktons of battery)",5143.68302429504,918.387361849208,-4225.29566244583
"Momentum_Long_reuse0","Long life",2043,"Refining (ktons of black mass)",1492.99100658344,384.659890081212,-1108.33111650223
"Momentum_Long_reuse0","Long life",2044,"Pre-processing (ktons of battery)",5864.39417547277,918.387361849208,-4946.00681362356
"Momentum_Long_reuse0","Long life",2044,"Refining (ktons of black mass)",1698.20655330781,384.659890081212,-1313.5466632266
"Momentum_Long_reuse0","Long life",2045,"Pre-processing (ktons of battery)",6543.72629825717,918.387361849208,-5625.33893640796
"Momentum_Long_reuse0","Long life",2045,"Refining (ktons of black mass)",1890.35698821481,384.659890081212,-1505.69709813359
"Momentum_Long_reuse0","Long life",2046,"Pre-processing (ktons of battery)",7232.15539689476,918.387361849208,-6313.76803504556
"Momentum_Long_reuse0","Long life",2046,"Refining (ktons of black mass)",2085.12312850901,384.659890081212,-1700.4632384278
"Momentum_Long_reuse0","Long life",2047,"Pre-processing (ktons of battery)",7938.61586981099,918.387361849208,-7020.22850796178
"Momentum_Long_reuse0","Long life",2047,"Refining (ktons of black mass)",2285.64459915554,384.659890081212,-1900.98470907432
"Momentum_Long_reuse0","Long life",2048,"Pre-processing (ktons of battery)",8649.40501167846,918.387361849208,-7731.01764982925
"Momentum_Long_reuse0","Long life",2048,"Refining (ktons of black mass)",2488.26624338385,384.659890081212,-2103.60635330264
"Momentum_Long_reuse0","Long life",2049,"Pre-processing (ktons of battery)",9307.55855852326,918.387361849208,-8389.17119667405
"Momentum_Long_reuse0","Long life",2049,"Refining (ktons of black mass)",2676.20184496674,384.659890081212,-2291.54195488552
"Momentum_Long_reuse0","Long life",2050,"Pre-processing (ktons of battery)",9750.53801492575,918.387361849208,-8832.15065307654
"Momentum_Long_reuse0","Long life",2050,"Refining (ktons of black mass)",2800.86966424224,384.659890081212,-2416.20977416102
"Momentum_Short_reuse0","Short life",2025,"Pre-processing (ktons of battery)",183.403506334871,322.423361849208,139.019855514337
"Momentum_Short_reuse0","Short life",2025,"Refining (ktons of black mass)",52.3623356405845,0,-52.3623356405845
"Momentum_Short_reuse0","Short life",2026,"Pre-processing (ktons of battery)",291.023618810302,495.528361849208,204.504743038906
"Momentum_Short_reuse0","Short life",2026,"Refining (ktons of black mass)",83.7666933234747,6.59364669564592,-77.1730466278287
"Momentum_Short_reuse0","Short life",2027,"Pre-processing (ktons of battery)",537.970298239164,534.528361849207,-3.44193638995614
"Momentum_Short_reuse0","Short life",2027,"Refining (ktons of black mass)",156.875505113886,96.7806103840414,-60.0948947298444
"Momentum_Short_reuse0","Short life",2028,"Pre-processing (ktons of battery)",823.556178252801,786.528361849207,-37.0278164035938
"Momentum_Short_reuse0","Short life",2028,"Refining (ktons of black mass)",243.509762627818,151.582672598708,-91.9270900291105
"Momentum_Short_reuse0","Short life",2029,"Pre-processing (ktons of battery)",1166.87461527622,837.528361849207,-329.34625342701
"Momentum_Short_reuse0","Short life",2029,"Refining (ktons of black mass)",345.08904234259,162.295283655217,-182.793758687372
"Momentum_Short_reuse0","Short life",2030,"Pre-processing (ktons of battery)",1440.16747305979,918.387361849208,-521.780111210584
"Momentum_Short_reuse0","Short life",2030,"Refining (ktons of black mass)",424.146053593696,373.123232020356,-51.0228215733398
"Momentum_Short_reuse0","Short life",2031,"Pre-processing (ktons of battery)",1784.54381203511,918.387361849208,-866.156450185901
"Momentum_Short_reuse0","Short life",2031,"Refining (ktons of black mass)",522.827169262885,373.123232020356,-149.703937242529
"Momentum_Short_reuse0","Short life",2032,"Pre-processing (ktons of battery)",2191.05166533104,918.387361849208,-1272.66430348183
