"Scenario","Region","Variable","Type","Year","Value"
"Global Net-zero","British Columbia","Oil","Primary Fuel",2025,36.46
"Canada Net-zero","British Columbia","Solar","Primary Fuel",2025,703.281
"Current Measures","British Columbia","Solar","Primary Fuel",2025,394.281
"Global Net-zero","British Columbia","Solar","Primary Fuel",2025,394.281
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2025,0
"Global Net-zero","British Columbia","Uranium","Primary Fuel",2025,0
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2025,852.25
"Current Measures","British Columbia","Wind","Primary Fuel",2025,852.25
"Global Net-zero","British Columbia","Wind","Primary Fuel",2025,816.4725524
"Canada Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2025,29.060682
"Current Measures","Manitoba","Biomass / Geothermal","Primary Fuel",2025,22
"Global Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2025,22
"Canada Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2025,6072.69
"Current Measures","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2025,6072.69
"Global Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2025,6072.69
"Canada Net-zero","Manitoba","Natural Gas","Primary Fuel",2025,402.61
"Current Measures","Manitoba","Natural Gas","Primary Fuel",2025,402.61
"Global Net-zero","Manitoba","Natural Gas","Primary Fuel",2025,402.61
"Canada Net-zero","Manitoba","Oil","Primary Fuel",2025,37.3099999999999
"Current Measures","Manitoba","Oil","Primary Fuel",2025,37.31
"Global Net-zero","Manitoba","Oil","Primary Fuel",2025,37.31
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2025,6
"Current Measures","Manitoba","Solar","Primary Fuel",2025,6
"Global Net-zero","Manitoba","Solar","Primary Fuel",2025,6
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2025,0
"Global Net-zero","Manitoba","Uranium","Primary Fuel",2025,0
"Canada Net-zero","Manitoba","Wind","Primary Fuel",2025,308.65
"Current Measures","Manitoba","Wind","Primary Fuel",2025,308.65
"Global Net-zero","Manitoba","Wind","Primary Fuel",2025,308.65
"Canada Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2025,79.2
"Current Measures","New Brunswick","Biomass / Geothermal","Primary Fuel",2025,79.2
"Global Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2025,79.2
"Canada Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2025,541
"Current Measures","New Brunswick","Coal & Coke","Primary Fuel",2025,541
"Global Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2025,541
"Canada Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2025,960.98
"Current Measures","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2025,960.98
"Global Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2025,960.98
"Canada Net-zero","New Brunswick","Natural Gas","Primary Fuel",2025,550
"Current Measures","New Brunswick","Natural Gas","Primary Fuel",2025,550
"Global Net-zero","New Brunswick","Natural Gas","Primary Fuel",2025,550
"Canada Net-zero","New Brunswick","Oil","Primary Fuel",2025,1593.04
"Current Measures","New Brunswick","Oil","Primary Fuel",2025,1593.04
"Global Net-zero","New Brunswick","Oil","Primary Fuel",2025,1593.04
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2025,30.162
"Current Measures","New Brunswick","Solar","Primary Fuel",2025,30.162
"Global Net-zero","New Brunswick","Solar","Primary Fuel",2025,30.162
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2025,705
"Current Measures","New Brunswick","Uranium","Primary Fuel",2025,705
"Global Net-zero","New Brunswick","Uranium","Primary Fuel",2025,705
"Canada Net-zero","New Brunswick","Wind","Primary Fuel",2025,399
"Current Measures","New Brunswick","Wind","Primary Fuel",2025,329
"Global Net-zero","New Brunswick","Wind","Primary Fuel",2025,399
"Canada Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2025,7607.061
"Current Measures","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2025,7607.061
"Global Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2025,7607.061
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2025,251.5
"Current Measures","Newfoundland and Labrador","Natural Gas","Primary Fuel",2025,251.5
"Global Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2025,251.5
"Canada Net-zero","Newfoundland and Labrador","Oil","Primary Fuel",2025,769.55
"Current Measures","Newfoundland and Labrador","Oil","Primary Fuel",2025,769.55
"Global Net-zero","Newfoundland and Labrador","Oil","Primary Fuel",2025,769.55
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2025,0.015
"Current Measures","Newfoundland and Labrador","Solar","Primary Fuel",2025,0.015
"Global Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2025,0.015
"Canada Net-zero","Newfoundland and Labrador","Wind","Primary Fuel",2025,54.3
"Current Measures","Newfoundland and Labrador","Wind","Primary Fuel",2025,54.3
"Global Net-zero","Newfoundland and Labrador","Wind","Primary Fuel",2025,54.3
"Canada Net-zero","Nova Scotia","Biomass / Geothermal","Primary Fuel",2025,112.56
"Current Measures","Nova Scotia","Biomass / Geothermal","Primary Fuel",2025,112.56
"Global Net-zero","Nova Scotia","Biomass / Geothermal","Primary Fuel",2025,112.56
"Canada Net-zero","Nova Scotia","Coal & Coke","Primary Fuel",2025,1133
"Current Measures","Nova Scotia","Coal & Coke","Primary Fuel",2025,1133
"Global Net-zero","Nova Scotia","Coal & Coke","Primary Fuel",2025,1133
"Canada Net-zero","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2025,389.35
"Current Measures","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2025,389.35
"Global Net-zero","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2025,389.35
"Canada Net-zero","Nova Scotia","Natural Gas","Primary Fuel",2025,853.098935
"Current Measures","Nova Scotia","Natural Gas","Primary Fuel",2025,962.447093
"Global Net-zero","Nova Scotia","Natural Gas","Primary Fuel",2025,787.6962669
"Canada Net-zero","Nova Scotia","Oil","Primary Fuel",2025,222.3
"Current Measures","Nova Scotia","Oil","Primary Fuel",2025,222.3
"Global Net-zero","Nova Scotia","Oil","Primary Fuel",2025,222.3
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2025,0.365
"Current Measures","Nova Scotia","Solar","Primary Fuel",2025,0.365
"Global Net-zero","Nova Scotia","Solar","Primary Fuel",2025,0.365
"Canada Net-zero","Nova Scotia","Wind","Primary Fuel",2025,603.18
"Current Measures","Nova Scotia","Wind","Primary Fuel",2025,603.18
"Global Net-zero","Nova Scotia","Wind","Primary Fuel",2025,603.18
"Canada Net-zero","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2025,115.4805
"Current Measures","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2025,115.4805
"Global Net-zero","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2025,115.4805
"Canada Net-zero","Northwest Territories","Natural Gas","Primary Fuel",2025,17.8
"Current Measures","Northwest Territories","Natural Gas","Primary Fuel",2025,17.8
"Global Net-zero","Northwest Territories","Natural Gas","Primary Fuel",2025,17.8
"Canada Net-zero","Northwest Territories","Oil","Primary Fuel",2025,159
"Current Measures","Northwest Territories","Oil","Primary Fuel",2025,159
"Global Net-zero","Northwest Territories","Oil","Primary Fuel",2025,159
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2025,3.015
"Current Measures","Northwest Territories","Solar","Primary Fuel",2025,2.015
"Global Net-zero","Northwest Territories","Solar","Primary Fuel",2025,2.015
"Canada Net-zero","Northwest Territories","Wind","Primary Fuel",2025,13.2
"Current Measures","Northwest Territories","Wind","Primary Fuel",2025,13.2
"Global Net-zero","Northwest Territories","Wind","Primary Fuel",2025,13.2
"Current Measures","Nunavut","Biomass / Geothermal","Primary Fuel",2025,0
"Canada Net-zero","Nunavut","Oil","Primary Fuel",2025,66.28
"Current Measures","Nunavut","Oil","Primary Fuel",2025,66.28
"Global Net-zero","Nunavut","Oil","Primary Fuel",2025,66.28
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2025,1.033
"Current Measures","Nunavut","Solar","Primary Fuel",2025,1.033
"Global Net-zero","Nunavut","Solar","Primary Fuel",2025,1.033
"Canada Net-zero","Nunavut","Wind","Primary Fuel",2025,0.5
"Current Measures","Nunavut","Wind","Primary Fuel",2025,0.5
"Global Net-zero","Nunavut","Wind","Primary Fuel",2025,0.5
"Canada Net-zero","Ontario","Biomass / Geothermal","Primary Fuel",2025,698.62
"Current Measures","Ontario","Biomass / Geothermal","Primary Fuel",2025,698.62
"Global Net-zero","Ontario","Biomass / Geothermal","Primary Fuel",2025,698.62
"Canada Net-zero","Ontario","Hydro / Wave / Tidal","Primary Fuel",2025,9263.68
"Current Measures","Ontario","Hydro / Wave / Tidal","Primary Fuel",2025,9263.68
"Global Net-zero","Ontario","Hydro / Wave / Tidal","Primary Fuel",2025,9263.68
"Canada Net-zero","Ontario","Natural Gas","Primary Fuel",2025,8860.5376425
"Current Measures","Ontario","Natural Gas","Primary Fuel",2025,9242.164715
"Global Net-zero","Ontario","Natural Gas","Primary Fuel",2025,8704.91
"Canada Net-zero","Ontario","Oil","Primary Fuel",2025,250.45
"Current Measures","Ontario","Oil","Primary Fuel",2025,250.45
"Global Net-zero","Ontario","Oil","Primary Fuel",2025,250.45
"Canada Net-zero","Ontario","Solar","Primary Fuel",2025,2669.46
"Current Measures","Ontario","Solar","Primary Fuel",2025,2669.46
"Global Net-zero","Ontario","Solar","Primary Fuel",2025,2669.46
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2025,11445
"Current Measures","Ontario","Uranium","Primary Fuel",2025,11445
"Global Net-zero","Ontario","Uranium","Primary Fuel",2025,11445
"Canada Net-zero","Ontario","Wind","Primary Fuel",2025,5575.45
"Current Measures","Ontario","Wind","Primary Fuel",2025,5575.45
"Global Net-zero","Ontario","Wind","Primary Fuel",2025,5575.45
"Canada Net-zero","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2025,2.1
"Current Measures","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2025,2.1
"Global Net-zero","Prince Edward Island","Biomass / Geothermal","Primary Fuel",2025,2.1
"Canada Net-zero","Prince Edward Island","Oil","Primary Fuel",2025,170.45
"Current Measures","Prince Edward Island","Oil","Primary Fuel",2025,170.45
"Global Net-zero","Prince Edward Island","Oil","Primary Fuel",2025,170.45
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2025,0
"Current Measures","Prince Edward Island","Solar","Primary Fuel",2025,0
"Global Net-zero","Prince Edward Island","Solar","Primary Fuel",2025,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2025,0
"Global Net-zero","Prince Edward Island","Uranium","Primary Fuel",2025,0
"Canada Net-zero","Prince Edward Island","Wind","Primary Fuel",2025,358.28
"Current Measures","Prince Edward Island","Wind","Primary Fuel",2025,328.62187053
"Global Net-zero","Prince Edward Island","Wind","Primary Fuel",2025,358.28
"Canada Net-zero","Quebec","Biomass / Geothermal","Primary Fuel",2025,326.39
"Current Measures","Quebec","Biomass / Geothermal","Primary Fuel",2025,5243.179334
"Global Net-zero","Quebec","Biomass / Geothermal","Primary Fuel",2025,326.39
"Canada Net-zero","Quebec","Hydro / Wave / Tidal","Primary Fuel",2025,41486.87
"Current Measures","Quebec","Hydro / Wave / Tidal","Primary Fuel",2025,41486.87
"Global Net-zero","Quebec","Hydro / Wave / Tidal","Primary Fuel",2025,41486.87
"Canada Net-zero","Quebec","Natural Gas","Primary Fuel",2025,560
"Current Measures","Quebec","Natural Gas","Primary Fuel",2025,560
"Global Net-zero","Quebec","Natural Gas","Primary Fuel",2025,560
"Canada Net-zero","Quebec","Oil","Primary Fuel",2025,311.04
"Current Measures","Quebec","Oil","Primary Fuel",2025,311.04
"Global Net-zero","Quebec","Oil","Primary Fuel",2025,311.04
"Canada Net-zero","Quebec","Solar","Primary Fuel",2025,0.297
"Current Measures","Quebec","Solar","Primary Fuel",2025,0.297
"Global Net-zero","Quebec","Solar","Primary Fuel",2025,0.297
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2025,0
"Global Net-zero","Quebec","Uranium","Primary Fuel",2025,0
"Canada Net-zero","Quebec","Wind","Primary Fuel",2025,4562.57
"Current Measures","Quebec","Wind","Primary Fuel",2025,4572.57
"Global Net-zero","Quebec","Wind","Primary Fuel",2025,4562.57
"Canada Net-zero","Saskatchewan","Biomass / Geothermal","Primary Fuel",2025,36
"Current Measures","Saskatchewan","Biomass / Geothermal","Primary Fuel",2025,36
"Global Net-zero","Saskatchewan","Biomass / Geothermal","Primary Fuel",2025,36
"Canada Net-zero","Saskatchewan","Coal & Coke","Primary Fuel",2025,1257
"Current Measures","Saskatchewan","Coal & Coke","Primary Fuel",2025,1257
"Global Net-zero","Saskatchewan","Coal & Coke","Primary Fuel",2025,1257
"Canada Net-zero","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2025,914.06
"Current Measures","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2025,914.06
"Global Net-zero","Saskatchewan","Hydro / Wave / Tidal","Primary Fuel",2025,914.06
"Canada Net-zero","Saskatchewan","Natural Gas","Primary Fuel",2025,3008.6695091
"Current Measures","Saskatchewan","Natural Gas","Primary Fuel",2025,2822.5072402
"Global Net-zero","Saskatchewan","Natural Gas","Primary Fuel",2025,2898.147666
"Canada Net-zero","Saskatchewan","Oil","Primary Fuel",2025,16.955
"Current Measures","Saskatchewan","Oil","Primary Fuel",2025,16.955
"Global Net-zero","Saskatchewan","Oil","Primary Fuel",2025,16.955
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2025,84
"Current Measures","Saskatchewan","Solar","Primary Fuel",2025,64
"Global Net-zero","Saskatchewan","Solar","Primary Fuel",2025,64
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2025,0
"Global Net-zero","Saskatchewan","Uranium","Primary Fuel",2025,0
"Canada Net-zero","Saskatchewan","Wind","Primary Fuel",2025,2139.18
"Current Measures","Saskatchewan","Wind","Primary Fuel",2025,1795.168120498
"Global Net-zero","Saskatchewan","Wind","Primary Fuel",2025,1789.18
"Canada Net-zero","Yukon","Biomass / Geothermal","Primary Fuel",2025,43.934611
"Current Measures","Yukon","Biomass / Geothermal","Primary Fuel",2025,36.727373
"Global Net-zero","Yukon","Biomass / Geothermal","Primary Fuel",2025,40.558732
"Canada Net-zero","Yukon","Hydro / Wave / Tidal","Primary Fuel",2025,99.5
"Current Measures","Yukon","Hydro / Wave / Tidal","Primary Fuel",2025,99.5
"Global Net-zero","Yukon","Hydro / Wave / Tidal","Primary Fuel",2025,99.5
"Canada Net-zero","Yukon","Natural Gas","Primary Fuel",2025,19.8
"Current Measures","Yukon","Natural Gas","Primary Fuel",2025,19.8
"Global Net-zero","Yukon","Natural Gas","Primary Fuel",2025,19.8
"Canada Net-zero","Yukon","Oil","Primary Fuel",2025,34.57
"Current Measures","Yukon","Oil","Primary Fuel",2025,34.57
"Global Net-zero","Yukon","Oil","Primary Fuel",2025,34.57
"Canada Net-zero","Yukon","Solar","Primary Fuel",2025,1.044
"Current Measures","Yukon","Solar","Primary Fuel",2025,1.044
"Global Net-zero","Yukon","Solar","Primary Fuel",2025,1.044
"Canada Net-zero","Yukon","Wind","Primary Fuel",2025,7.81
"Current Measures","Yukon","Wind","Primary Fuel",2025,7.81
"Global Net-zero","Yukon","Wind","Primary Fuel",2025,7.81
"Canada Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2026,285.65
"Current Measures","Alberta","Biomass / Geothermal","Primary Fuel",2026,285.65
"Global Net-zero","Alberta","Biomass / Geothermal","Primary Fuel",2026,285.65
"Canada Net-zero","Alberta","Coal & Coke","Primary Fuel",2026,0
"Current Measures","Alberta","Coal & Coke","Primary Fuel",2026,0
"Global Net-zero","Alberta","Coal & Coke","Primary Fuel",2026,0
"Canada Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2026,894.35
"Current Measures","Alberta","Hydro / Wave / Tidal","Primary Fuel",2026,894.35
"Global Net-zero","Alberta","Hydro / Wave / Tidal","Primary Fuel",2026,894.35
"Canada Net-zero","Alberta","Natural Gas","Primary Fuel",2026,14683.4826916
"Current Measures","Alberta","Natural Gas","Primary Fuel",2026,14969.0999215556
"Global Net-zero","Alberta","Natural Gas","Primary Fuel",2026,15053.492054
"Canada Net-zero","Alberta","Oil","Primary Fuel",2026,7.14999999999999
"Current Measures","Alberta","Oil","Primary Fuel",2026,7.15
"Global Net-zero","Alberta","Oil","Primary Fuel",2026,7.15
"Canada Net-zero","Alberta","Solar","Primary Fuel",2026,1329.2
"Current Measures","Alberta","Solar","Primary Fuel",2026,1500.466
"Global Net-zero","Alberta","Solar","Primary Fuel",2026,1329.2
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2026,0
"Global Net-zero","Alberta","Uranium","Primary Fuel",2026,0
"Canada Net-zero","Alberta","Wind","Primary Fuel",2026,4811.642
"Current Measures","Alberta","Wind","Primary Fuel",2026,2848.56
"Global Net-zero","Alberta","Wind","Primary Fuel",2026,4054.94743455497
"Canada Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2026,1079.05
"Current Measures","British Columbia","Biomass / Geothermal","Primary Fuel",2026,1079.05
"Global Net-zero","British Columbia","Biomass / Geothermal","Primary Fuel",2026,979.05
"Canada Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2026,17053.47
"Current Measures","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2026,17053.47
"Global Net-zero","British Columbia","Hydro / Wave / Tidal","Primary Fuel",2026,17053.47
"Canada Net-zero","British Columbia","Natural Gas","Primary Fuel",2026,1655.4034371
"Current Measures","British Columbia","Natural Gas","Primary Fuel",2026,1712.00621577778
"Global Net-zero","British Columbia","Natural Gas","Primary Fuel",2026,2440.1490609
"Canada Net-zero","British Columbia","Oil","Primary Fuel",2026,36.46
"Current Measures","British Columbia","Oil","Primary Fuel",2026,36.46
"Global Net-zero","British Columbia","Oil","Primary Fuel",2026,36.46
"Canada Net-zero","British Columbia","Solar","Primary Fuel",2026,733.681
"Current Measures","British Columbia","Solar","Primary Fuel",2026,424.681
"Global Net-zero","British Columbia","Solar","Primary Fuel",2026,424.681
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2026,0
"Global Net-zero","British Columbia","Uranium","Primary Fuel",2026,0
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2026,912.384
"Current Measures","British Columbia","Wind","Primary Fuel",2026,852.25
"Global Net-zero","British Columbia","Wind","Primary Fuel",2026,875.320719939267
"Canada Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2026,29.060682
"Current Measures","Manitoba","Biomass / Geothermal","Primary Fuel",2026,22
"Global Net-zero","Manitoba","Biomass / Geothermal","Primary Fuel",2026,22
"Canada Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2026,6376.0149527
"Current Measures","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2026,6172.69
"Global Net-zero","Manitoba","Hydro / Wave / Tidal","Primary Fuel",2026,6324.4838571
"Canada Net-zero","Manitoba","Natural Gas","Primary Fuel",2026,402.61
"Current Measures","Manitoba","Natural Gas","Primary Fuel",2026,402.61
"Global Net-zero","Manitoba","Natural Gas","Primary Fuel",2026,402.61
"Canada Net-zero","Manitoba","Oil","Primary Fuel",2026,37.3099999999999
"Current Measures","Manitoba","Oil","Primary Fuel",2026,37.31
"Global Net-zero","Manitoba","Oil","Primary Fuel",2026,37.31
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2026,6
"Current Measures","Manitoba","Solar","Primary Fuel",2026,6
"Global Net-zero","Manitoba","Solar","Primary Fuel",2026,6
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2026,0
"Global Net-zero","Manitoba","Uranium","Primary Fuel",2026,0
"Canada Net-zero","Manitoba","Wind","Primary Fuel",2026,330.906
"Current Measures","Manitoba","Wind","Primary Fuel",2026,330.544736842105
"Global Net-zero","Manitoba","Wind","Primary Fuel",2026,330.430104712042
"Canada Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2026,79.2
"Current Measures","New Brunswick","Biomass / Geothermal","Primary Fuel",2026,79.2
"Global Net-zero","New Brunswick","Biomass / Geothermal","Primary Fuel",2026,79.2
"Canada Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2026,541
"Current Measures","New Brunswick","Coal & Coke","Primary Fuel",2026,541
"Global Net-zero","New Brunswick","Coal & Coke","Primary Fuel",2026,541
"Canada Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2026,960.98
"Current Measures","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2026,960.98
"Global Net-zero","New Brunswick","Hydro / Wave / Tidal","Primary Fuel",2026,960.98
"Canada Net-zero","New Brunswick","Natural Gas","Primary Fuel",2026,550
"Current Measures","New Brunswick","Natural Gas","Primary Fuel",2026,550
"Global Net-zero","New Brunswick","Natural Gas","Primary Fuel",2026,550
"Canada Net-zero","New Brunswick","Oil","Primary Fuel",2026,1593.04
"Current Measures","New Brunswick","Oil","Primary Fuel",2026,1593.04
"Global Net-zero","New Brunswick","Oil","Primary Fuel",2026,1593.04
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2026,30.162
"Current Measures","New Brunswick","Solar","Primary Fuel",2026,30.162
"Global Net-zero","New Brunswick","Solar","Primary Fuel",2026,30.162
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2026,705
"Current Measures","New Brunswick","Uranium","Primary Fuel",2026,705
"Global Net-zero","New Brunswick","Uranium","Primary Fuel",2026,705
"Canada Net-zero","New Brunswick","Wind","Primary Fuel",2026,399
"Current Measures","New Brunswick","Wind","Primary Fuel",2026,340.406568789474
"Global Net-zero","New Brunswick","Wind","Primary Fuel",2026,399
"Canada Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2026,7607.061
"Current Measures","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2026,7607.061
"Global Net-zero","Newfoundland and Labrador","Hydro / Wave / Tidal","Primary Fuel",2026,7607.061
"Canada Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2026,251.5
"Current Measures","Newfoundland and Labrador","Natural Gas","Primary Fuel",2026,251.5
"Global Net-zero","Newfoundland and Labrador","Natural Gas","Primary Fuel",2026,251.5
"Canada Net-zero","Newfoundland and Labrador","Oil","Primary Fuel",2026,769.55
"Current Measures","Newfoundland and Labrador","Oil","Primary Fuel",2026,769.55
"Global Net-zero","Newfoundland and Labrador","Oil","Primary Fuel",2026,769.55
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2026,0.015
"Current Measures","Newfoundland and Labrador","Solar","Primary Fuel",2026,0.015
"Global Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2026,0.015
"Canada Net-zero","Newfoundland and Labrador","Wind","Primary Fuel",2026,54.3
"Current Measures","Newfoundland and Labrador","Wind","Primary Fuel",2026,54.3
"Global Net-zero","Newfoundland and Labrador","Wind","Primary Fuel",2026,54.3
"Canada Net-zero","Nova Scotia","Biomass / Geothermal","Primary Fuel",2026,112.56
"Current Measures","Nova Scotia","Biomass / Geothermal","Primary Fuel",2026,112.56
"Global Net-zero","Nova Scotia","Biomass / Geothermal","Primary Fuel",2026,112.56
"Canada Net-zero","Nova Scotia","Coal & Coke","Primary Fuel",2026,1133
"Current Measures","Nova Scotia","Coal & Coke","Primary Fuel",2026,1133
"Global Net-zero","Nova Scotia","Coal & Coke","Primary Fuel",2026,1133
"Canada Net-zero","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2026,389.35
"Current Measures","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2026,389.35
"Global Net-zero","Nova Scotia","Hydro / Wave / Tidal","Primary Fuel",2026,389.35
"Canada Net-zero","Nova Scotia","Natural Gas","Primary Fuel",2026,724.098935
"Current Measures","Nova Scotia","Natural Gas","Primary Fuel",2026,1006.83270622222
"Global Net-zero","Nova Scotia","Natural Gas","Primary Fuel",2026,658.6962669
"Canada Net-zero","Nova Scotia","Oil","Primary Fuel",2026,222.3
"Current Measures","Nova Scotia","Oil","Primary Fuel",2026,222.3
"Global Net-zero","Nova Scotia","Oil","Primary Fuel",2026,222.3
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2026,0.365
"Current Measures","Nova Scotia","Solar","Primary Fuel",2026,0.365
"Global Net-zero","Nova Scotia","Solar","Primary Fuel",2026,0.365
"Canada Net-zero","Nova Scotia","Wind","Primary Fuel",2026,1003.18
"Current Measures","Nova Scotia","Wind","Primary Fuel",2026,613.890334568421
"Global Net-zero","Nova Scotia","Wind","Primary Fuel",2026,1003.18
"Canada Net-zero","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2026,115.4805
"Current Measures","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2026,115.4805
"Global Net-zero","Northwest Territories","Hydro / Wave / Tidal","Primary Fuel",2026,115.4805
"Canada Net-zero","Northwest Territories","Natural Gas","Primary Fuel",2026,17.8
"Current Measures","Northwest Territories","Natural Gas","Primary Fuel",2026,17.8
"Global Net-zero","Northwest Territories","Natural Gas","Primary Fuel",2026,17.8
"Canada Net-zero","Northwest Territories","Oil","Primary Fuel",2026,115
"Current Measures","Northwest Territories","Oil","Primary Fuel",2026,115
"Global Net-zero","Northwest Territories","Oil","Primary Fuel",2026,115
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2026,3.015
"Current Measures","Northwest Territories","Solar","Primary Fuel",2026,2.015
"Global Net-zero","Northwest Territories","Solar","Primary Fuel",2026,2.015
"Canada Net-zero","Northwest Territories","Wind","Primary Fuel",2026,13.2
"Current Measures","Northwest Territories","Wind","Primary Fuel",2026,13.2
"Global Net-zero","Northwest Territories","Wind","Primary Fuel",2026,13.2
"Current Measures","Nunavut","Biomass / Geothermal","Primary Fuel",2026,0
"Canada Net-zero","Nunavut","Oil","Primary Fuel",2026,66.28
"Current Measures","Nunavut","Oil","Primary Fuel",2026,66.28
"Global Net-zero","Nunavut","Oil","Primary Fuel",2026,66.28
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2026,1.033
"Current Measures","Nunavut","Solar","Primary Fuel",2026,1.033
"Global Net-zero","Nunavut","Solar","Primary Fuel",2026,1.033
"Canada Net-zero","Nunavut","Wind","Primary Fuel",2026,0.5
"Current Measures","Nunavut","Wind","Primary Fuel",2026,0.5
"Global Net-zero","Nunavut","Wind","Primary Fuel",2026,0.5
"Canada Net-zero","Ontario","Biomass / Geothermal","Primary Fuel",2026,698.62
"Current Measures","Ontario","Biomass / Geothermal","Primary Fuel",2026,698.62
"Global Net-zero","Ontario","Biomass / Geothermal","Primary Fuel",2026,698.62
"Canada Net-zero","Ontario","Hydro / Wave / Tidal","Primary Fuel",2026,9263.68
"Current Measures","Ontario","Hydro / Wave / Tidal","Primary Fuel",2026,9263.68
"Global Net-zero","Ontario","Hydro / Wave / Tidal","Primary Fuel",2026,9263.68
"Canada Net-zero","Ontario","Natural Gas","Primary Fuel",2026,10255.4099805
"Current Measures","Ontario","Natural Gas","Primary Fuel",2026,9813.94211322222
"Global Net-zero","Ontario","Natural Gas","Primary Fuel",2026,10177.378166
"Canada Net-zero","Ontario","Oil","Primary Fuel",2026,250.45
"Current Measures","Ontario","Oil","Primary Fuel",2026,250.45
"Global Net-zero","Ontario","Oil","Primary Fuel",2026,250.45
"Canada Net-zero","Ontario","Solar","Primary Fuel",2026,2738.80465542
"Current Measures","Ontario","Solar","Primary Fuel",2026,2669.46
