"Scenario","Vehicle","Country","Year","Sales","EV_Stock","LIB_reuse_EV","LIB_recycling","LIB_Available","add_LIB","add_LIB_vector","LIB_Available_vector","LIB_recycling_vector","EV_Stock_vector"
"Momentum","Medium trucks","Mexico",2039,10257,52544,67,474,160,405,"7|9|12|15|19|24|30|35|31|29|39|47|51|49|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","6|5|4|4|5|5|6|7|8|7|9|22|24|24|22|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0","7|9|12|15|19|24|30|35|37|35|43|51|55|54|47|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0","10254|8782|7385|6060|4822|3956|3152|2392|1694|1046|891|752|615|474|262|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2040,12747,64856,95,626,223,488,"8|10|14|18|23|29|37|45|43|46|42|52|58|56|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","10|9|8|6|7|7|8|9|11|11|10|25|28|28|26|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0","8|11|14|18|24|29|37|45|52|55|49|58|64|63|55|42|0|0|0|0|0|0|0|0|0|0|0|0|0|0","12744|10244|8767|7378|6050|4810|3941|3133|2370|1670|1013|863|717|574|426|157|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2041,14452,78741,134,813,301,595,"9|13|16|22|28|36|45|57|58|65|67|56|64|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","10|12|12|11|9|10|10|12|14|17|17|30|32|33|30|24|17|0|0|0|0|0|0|0|0|0|0|0|0|0","10|13|17|22|29|37|45|57|68|77|79|67|74|74|65|49|33|0|0|0|0|0|0|0|0|0|0|0|0|0","14448|12730|10237|8758|7366|6035|4791|3917|3104|2336|1634|981|823|669|521|294|95|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2042,16236,94219,180,1041,397,739,"10|14|20|25|34|44|56|69|74|86|93|90|70|52|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","12|14|16|16|14|14|15|16|18|22|24|47|37|38|35|29|20|12|0|0|0|0|0|0|0|0|0|0|0|0","11|15|21|26|34|45|57|69|85|101|110|106|84|84|75|58|38|22|0|0|0|0|0|0|0|0|0|0|0|0","16232|14433|12722|10227|8745|7348|6012|4763|3881|3060|2286|1572|935|768|603|394|188|50|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2043,18098,111362,233,1327,522,934,"12|16|23|31|39|53|69|86|90|109|124|127|114|41|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","14|16|19|21|19|19|20|21|25|27|32|67|60|43|41|33|23|14|8|0|0|0|0|0|0|0|0|0|0|0","12|17|23|32|40|54|69|87|104|126|144|150|134|96|86|67|45|26|13|0|0|0|0|0|0|0|0|0|0|0","18093|16225|14424|12710|10211|8723|7320|5976|4719|3826|2994|2213|1499|873|696|453|267|118|21|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2044,20038,130203,299,1680,682,1186,"13|18|26|36|49|61|81|105|113|133|157|169|160|65|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","17|19|22|24|27|26|27|29|31|37|40|88|85|69|46|38|27|17|9|4|0|0|0|0|0|0|0|0|0|0","13|19|26|37|50|63|83|106|131|154|180|196|189|152|98|77|52|30|15|7|0|0|0|0|0|0|0|0|0|0","20033|18086|16215|14410|12690|10186|8690|7276|5921|4652|3744|2898|2109|1398|788|527|324|170|76|10|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2045,22056,150733,377,2116,884,1505,"14|20|28|40|56|76|95|124|136|167|191|213|213|132|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","22|24|26|29|31|34|35|38|39|46|52|112|112|98|73|43|31|19|10|5|2|0|0|0|0|0|0|0|0|0","15|21|30|41|57|78|97|127|159|194|221|246|247|215|156|88|60|35|18|8|3|0|0|0|0|0|0|0|0|0","22050|20025|18075|16199|14387|12659|10147|8638|7209|5837|4552|3624|2763|1968|1269|595|376|214|100|42|5|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2046,24153,172897,472,2635,1129,1850,"15|22|31|45|62|86|118|145|157|201|240|259|268|199|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","31|31|32|34|37|40|45|48|49|57|66|140|139|129|103|69|35|22|12|6|2|0|0|0|0|0|0|0|0|0","16|23|33|46|64|89|121|148|190|236|277|300|308|281|218|139|68|41|21|10|4|0|0|0|0|0|0|0|0|0","24147|22041|20012|18056|16173|14352|12610|10086|8558|7107|5712|4406|3455|2578|1785|958|424|242|115|56|21|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2047,26400,196754,586,3249,1436,2227,"17|24|35|49|70|97|134|181|180|234|289|326|326|266|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","39|42|42|43|44|48|53|60|63|71|81|181|171|161|136|96|56|25|14|7|3|0|0|0|0|0|0|0|0|0","18|26|36|51|72|100|137|185|223|281|337|378|375|352|287|195|108|46|24|11|5|0|0|0|0|0|0|0|0|0","26393|24137|22027|19992|18028|16134|14297|12535|9983|8437|6955|5529|4200|3224|2330|1351|683|273|151|73|24|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2048,31109,224672,723,3958,1805,2644,"20|26|38|54|77|108|150|205|223|269|338|394|410|332|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","49|53|55|54|55|57|62|70|82|86|100|221|221|198|171|126|79|40|16|8|3|0|0|0|0|0|0|0|0|0","21|28|40|57|80|112|155|210|279|329|402|460|473|428|359|255|152|73|28|13|6|0|0|0|0|0|0|0|0|0","31101|26383|24122|22005|19961|17984|16072|14211|12419|9842|8256|6732|5270|3910|2924|1764|965|461|171|80|40|0|0|0|0|0|0|0|0|0"
