"Vehicle","Country","Year","Sales","EV_Stock","LIB_reuse_EV","LIB_recycling","LIB_Available","add_LIB","add_LIB_vector","LIB_Available_vector","LIB_recycling_vector","EV_Stock_vector"
"Buses","Canada",2034,3823,25095,43,354,125,302,"2|3|5|6|9|12|16|21|23|31|31|70|49|21|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4|3|2|2|2|2|3|4|6|7|7|32|22|11|14|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3|4|5|6|9|12|16|21|27|34|33|73|51|23|29|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3822|3482|2981|2500|2305|1968|1683|1428|1213|1015|679|1069|563|195|163|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2035,3993,28729,58,456,171,365,"3|4|5|7|10|14|18|24|25|34|44|42|88|47|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","6|5|4|3|3|3|4|5|6|8|10|19|39|27|11|13|4|0|0|0|0|0|0|0|0|0|0|0|0|0","3|4|6|7|10|14|18|24|31|40|48|45|90|59|24|26|7|0|0|0|0|0|0|0|0|0|0|0|0|0","3992|3818|3477|2974|2490|2290|1961|1673|1415|1196|993|657|1010|523|166|77|17|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2036,4143,32452,79,569,229,444,"3|4|6|9|11|15|21|28|28|37|49|59|52|100|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","9|9|7|6|4|4|4|6|7|10|12|28|24|47|28|11|10|3|0|0|0|0|0|0|0|0|0|0|0|0","3|4|6|9|12|15|21|28|37|46|56|65|56|104|60|21|20|5|0|0|0|0|0|0|0|0|0|0|0|0","4142|3988|3812|3468|2962|2474|2282|1949|1658|1395|1170|961|626|942|464|104|47|9|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2037,4253,36157,107,688,298,495,"3|4|6|9|13|18|23|33|30|42|54|67|74|58|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","12|12|12|10|8|7|7|7|9|11|14|34|36|29|50|27|9|7|0|0|0|0|0|0|0|0|0|0|0|0","3|4|7|10|14|18|24|33|43|54|66|77|82|64|106|54|17|14|0|0|0|0|0|0|0|0|0|0|0|0","4252|4138|3981|3802|3454|2954|2465|2268|1931|1634|1365|1133|917|584|855|327|71|26|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2038,4432,39840,140,817,374,517,"3|4|7|10|15|21|28|36|35|47|62|74|84|85|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","14|16|15|14|12|10|9|9|10|13|17|40|42|42|31|47|22|6|5|0|0|0|0|0|0|0|0|0|0|0","3|5|7|10|15|21|28|36|50|63|77|90|96|94|66|95|42|11|8|0|0|0|0|0|0|0|0|0|0|0","4431|4247|4131|3971|3787|3445|2943|2450|2247|1904|1590|1321|1080|855|530|636|218|40|13|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2039,4615,43578,175,955,456,601,"3|4|7|10|15|23|32|42|41|55|70|85|95|96|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","12|18|20|18|17|14|13|13|13|16|19|46|50|50|45|29|38|15|4|3|0|0|0|0|0|0|0|0|0|0","3|5|7|11|16|24|33|43|54|73|90|105|113|110|96|59|74|28|7|4|0|0|0|0|0|0|0|0|0|0","4614|4426|4241|4120|3955|3777|3432|2925|2428|2215|1863|1539|1259|998|776|387|450|147|18|6|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2040,4801,47350,212,1103,543,677,"3|5|7|10|16|24|35|49|48|63|82|98|109|109|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","15|16|22|23|21|20|18|17|18|19|23|56|59|58|53|43|24|27|10|2|0|0|0|0|0|0|0|0|0|0","3|5|8|11|17|25|37|50|65|80|104|123|131|128|112|86|46|50|17|4|0|0|0|0|0|0|0|0|0|0","4800|4609|4419|4230|4114|3945|3763|3412|2898|2393|2168|1803|1467|1175|906|588|262|303|90|5|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2041,4893,51036,253,1266,638,762,"3|5|7|11|16|25|37|54|57|74|92|115|128|126|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","17|20|21|25|25|24|24|23|22|24|27|65|69|67|62|50|35|17|17|5|0|0|0|0|0|0|0|0|0|0","4|5|8|12|18|26|39|56|76|95|114|143|153|149|131|101|67|31|30|9|0|0|0|0|0|0|0|0|0|0","4892|4795|4601|4408|4223|4104|3930|3740|3380|2857|2342|2098|1719|1369|1066|686|422|165|194|45|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2042,4986,54619,296,1449,747,851,"3|5|8|11|17|25|38|56|62|87|108|127|149|147|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","19|22|25|25|28|28|28|29|28|31|33|73|80|81|72|58|41|25|10|9|3|0|0|0|0|0|0|0|0|0","4|6|8|12|19|27|41|59|84|112|136|155|178|175|153|117|78|45|18|16|4|0|0|0|0|0|0|0|0|0","4985|4887|4787|4590|4401|4213|4088|3907|3706|3332|2796|2267|2000|1604|1242|808|492|268|101|125|22|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2043,5078,58050,338,1642,863,949,"3|5|8|12|18|27|39|59|64|95|128|151|163|172|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","21|25|28|30|29|32|32|32|33|36|41|90|89|94|84|67|47|29|15|6|5|0|0|0|0|0|0|0|0|0","4|6|9|13|19|29|42|62|89|124|160|185|194|204|178|137|91|53|27|10|8|0|0|0|0|0|0|0|0|0","5077|4980|4879|4775|4582|4390|4196|4064|3871|3653|3261|2707|2161|1866|1447|936|579|335|166|58|70|0|0|0|0|0|0|0|0|0"
